user_id,age_range,gender,merchant_id,label,kind,item_id,category_id,brand_id,time_stamp,action_type
34944,5,0,2116,-1,train,867,656,7334,1017,0
252288,3,0,3990,-1,train,825,662,5644,819,0
210048,3,1,4255,-1,train,866,1213,1573,711,2
210048,3,1,4255,-1,train,866,1213,1573,711,0
210048,3,1,4255,-1,train,866,1213,1573,711,0
210048,3,1,4255,-1,train,866,1213,1573,711,0
279168,2,1,1110,-1,train,857,1112,2187,818,0
279168,2,1,1110,-1,train,857,1112,2187,818,0
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,813,2
279168,2,1,1110,-1,train,857,1112,2187,813,0
279168,2,1,1110,-1,train,857,1112,2187,826,0
279168,2,1,1110,-1,train,857,1112,2187,826,0
217728,4,0,1393,-1,train,862,1389,4705,1103,0
285312,0,0,3058,-1,train,809,308,8473,1030,2
285312,0,0,3058,-1,train,809,308,8473,1030,0
285312,0,0,3058,-1,train,809,308,8473,1030,0
349569,4,1,3990,-1,train,825,662,5644,808,0
349569,4,1,3990,-1,train,825,662,5644,808,0
221313,3,1,1110,-1,train,857,1112,2187,1111,0
176514,4,0,1110,-1,train,857,1112,2187,725,0
176514,4,0,1110,-1,train,857,1112,2187,725,0
176514,4,0,1110,-1,train,857,1112,2187,725,0
68994,4,1,4255,-1,train,866,1213,1573,813,0
68994,4,1,4255,-1,train,866,1213,1573,813,0
68994,4,1,4255,-1,train,866,1213,1573,813,2
68994,4,1,4255,-1,train,866,1213,1573,909,0
400770,2,0,2217,0,train,919,1467,3012,1109,0
8322,0,1,4255,-1,train,866,1213,1573,902,0
8322,0,1,4255,-1,train,866,1213,1573,902,0
8322,0,1,4255,-1,train,866,1213,1573,902,0
8322,0,1,4255,-1,train,866,1213,1573,903,0
356994,4,0,2116,-1,train,867,656,7334,1031,0
105603,7,1,4255,-1,train,866,1213,1573,814,2
329859,5,0,4255,-1,train,866,1213,1573,816,0
94083,3,1,4083,-1,train,957,276,830,1105,0
226947,5,1,2116,-1,train,867,656,7334,1111,0
35460,3,0,1393,-1,train,862,1389,4705,1111,0
371076,6,0,3990,-1,train,825,662,5644,808,0
396420,3,0,4255,-1,train,866,1213,1573,908,0
396420,3,0,4255,-1,train,866,1213,1573,908,2
155268,0,0,1393,-1,train,862,1389,4705,1025,0
89988,3,1,4255,-1,train,866,1213,1573,711,0
89988,3,1,4255,-1,train,866,1213,1573,711,0
89988,3,1,4255,-1,train,866,1213,1573,711,2
89988,3,1,4255,-1,train,866,1213,1573,711,0
89988,3,1,4255,-1,train,866,1213,1573,711,0
188037,8,0,4255,-1,train,866,1213,1573,710,2
348549,4,0,4255,-1,train,866,1213,1573,712,0
23430,3,0,111,-1,train,950,120,5659,911,0
97926,0,0,202,-1,train,870,662,7614,822,0
378759,0,0,4255,-1,train,866,1213,1573,714,0
195207,0,0,3990,-1,train,825,662,5644,827,0
203655,6,0,461,-1,train,909,662,1859,818,0
280455,3,0,983,-1,train,891,898,5508,617,0
358791,3,0,2217,-1,train,919,1467,3012,1111,0
358791,3,0,2217,-1,train,919,1467,3012,1101,3
358791,3,0,2217,-1,train,919,1467,3012,1101,0
358791,3,0,2217,-1,train,919,1467,3012,1101,0
358791,3,0,2217,-1,train,919,1467,3012,1102,0
358791,3,0,2217,-1,train,919,1467,3012,923,0
358791,3,0,2217,-1,train,919,1467,3012,904,0
358791,3,0,2217,-1,train,919,1467,3012,924,0
15240,2,1,2217,-1,train,919,1467,3012,1109,0
51081,3,0,2993,-1,train,889,1591,5762,1021,0
51081,3,0,2993,-1,train,889,1591,5762,1103,0
51081,3,0,2993,-1,train,889,1591,5762,1009,0
64905,3,0,1393,-1,train,862,1389,4705,1111,0
393,5,0,4344,-1,train,856,302,7769,1025,0
139401,0,0,1110,-1,train,857,1112,2187,816,0
349065,6,0,1110,-1,train,857,1112,2187,626,0
396426,7,0,3990,0,train,825,662,5644,1111,0
408714,3,0,1393,-1,train,862,1389,4705,812,0
408714,3,0,1393,-1,train,862,1389,4705,812,0
278154,3,1,4255,-1,train,866,1213,1573,821,0
414090,5,1,1259,-1,train,875,834,4474,528,0
370827,5,0,1407,0,train,958,1098,2833,1111,0
370827,5,0,1407,0,train,958,1098,834,1111,2
255627,3,1,2692,-1,train,802,1075,6343,722,0
105612,5,0,983,-1,train,891,898,5508,617,0
237708,3,0,4818,-1,train,954,407,7606,520,0
59532,5,0,1110,-1,train,857,1112,2187,912,0
59532,5,0,1110,-1,train,857,1112,2187,912,0
59532,5,0,1110,-1,train,857,1112,2187,1111,0
211596,6,0,3990,-1,train,825,662,5644,810,0
211596,6,0,3990,-1,train,825,662,5644,810,0
293004,0,1,4255,-1,train,866,1213,1573,828,0
99213,4,1,2217,0,train,919,1467,3012,1111,0
192141,2,0,1393,-1,train,862,1389,4705,907,3
192141,2,0,1393,-1,train,862,1389,4705,907,0
157581,2,1,2692,-1,train,802,1075,6343,827,0
377742,4,0,1393,-1,train,862,1389,4705,1111,0
284046,3,1,4818,-1,train,954,407,7606,702,0
222606,0,0,3990,-1,train,825,662,5644,1003,0
138639,0,0,4243,-1,train,885,1528,2706,1009,0
